".id","site.name","depth","age","age.old","age.young","date.type","lat","long","dataset","ACRUBRUM","ACSACRUM","AMBROSIA","APIACEAE","ARTEMISIA","ASTERX","BETULA","CARYA","CHENOAMX","CUPRESSA","CYPERACE","FAGUS","FRAXINUX","FRAXNIGR","IVA","JUGLANSX","LAMIACEAE","LIQUIDAM","NYSSA","ONAGRACEAE","OSTRYCAR","Other","PINUSX","PLANTAGINX","PLATANUS","POACEAE","POLYGONMX","POLYPOD","QUERCUS","RUBIACEAE","RUBUS","SALIX","ULMUS","ABIES","ALNUSX","FRAXPNAM","PICEAX","SPHAGNUM","BRASSICACEAE","POPULUS","TSUGAX","ASTERCICHO","ACERX","CORYLUS","EQUISETU","RANUNCUL","ROSACEAX","THALICTRUM","TILIA","RUMEX","ALRUGOSA","LYCOPODX","POLYGONAX","JUGNIGRA","MYRICACX","URTICACX","RHAMNACEAE","FABACEAE","ERICACEX","LARIXPSEU","SARCOBATUS","EPHEDRA","CARYOPHYLL","SELAGINE","ACNEGUNA","XANTHIUM","CORNUS","LILIACEAE","ACSACNUM","EUPHORB","MALVACEAE","BORAGINACEAE","CASTANEA","ELAEAGNX","RUMEOXYR","PTERIDIUM","CAPRIFOLIA","SHEPHERDIA","ERIVACCI","AQUIFOLI","ARCEUTHOBI","SCROPHUL","MAGNOLIACE","CAMPANULACEA","ERIOGONUM","TAXODIUM","CACTACEAE","LARREA","POLEMONI","ACPENSYL","SANGUI","PROSOPIS","PEDICULARI","ANACARDI","TAXUS","optional"
"1320","JHMN37 (McAndrews and Wright 1969)",0,NA,NA,NA,NA,47.8,-103.166667,1320,NA,NA,11,NA,108,6,12,NA,46,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,78,NA,NA,53,NA,NA,6,NA,NA,NA,4,NA,8,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"1353","JHMS32 (McAndrews and Wright 1969)",0,NA,NA,NA,NA,44.9,-98.75,1353,NA,NA,47,NA,9,5,1,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,NA,NA,185,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2537","Lloyds Lake [W. Lake]",0,NA,NA,NA,NA,49.5077,-99.67675,2537,NA,NA,NA,NA,240,60,46,NA,32,NA,85,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,168,2,NA,154,NA,NA,156,NA,NA,36,4,NA,40,NA,38,NA,NA,2,NA,NA,2,6,2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2736","Farm Pond",0,NA,NA,NA,NA,43.1,-90,2736,NA,NA,96,NA,1,5,15,11,2,NA,6,NA,1,NA,NA,2,NA,NA,NA,NA,4,6,10,NA,NA,56,NA,NA,128,NA,NA,1,20,NA,NA,NA,1,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2746","Gibbs",0,NA,NA,NA,NA,42.782778,-89.180278,2746,NA,NA,100,NA,NA,NA,4,1,7,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,2,NA,3,NA,NA,8,NA,NA,61,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2941","Rose 4 (Watts and Wright 1966)",0,NA,NA,NA,NA,42.75,-103.83,2941,NA,NA,3,NA,89,2,NA,NA,104,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,39,NA,NA,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"3763","Stations 77-81 (Lichti-Federovich and Ritchie 1968)",0,NA,NA,NA,NA,53.75,-102.67,3763,NA,NA,NA,NA,6,10,54,NA,11,1,234,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,27,251,1,NA,139,NA,NA,1,NA,NA,47,NA,1,42,NA,180,NA,NA,1,NA,NA,NA,1,7,1,2,1,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14232","Cox Lake",NA,-33,NA,NA,1,44.56455,-103.99393,14232,NA,NA,15,NA,49,2,14,NA,32,5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,231,NA,NA,35,NA,NA,21,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14247","Unnamed Playa",65,-54,NA,NA,1,39.74158,-103.28101,14247,NA,NA,15,NA,20,18,NA,NA,384,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,23,NA,NA,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14394","Banker Pond",NA,-59,NA,NA,1,38.399265,-96.46875,14394,NA,NA,89,NA,7,35,1,6,59,52,21,NA,8,NA,10,NA,NA,NA,NA,NA,1,17,27,NA,1,50,NA,NA,91,NA,NA,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,10,1,34,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14399","Harney Peak Pond 1",NA,-57,NA,NA,1,43.8671833333333,-103.537183333333,14399,NA,NA,14,1,62,8,16,NA,34.5,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,431.5,NA,NA,46,NA,1,5,NA,NA,7,1,1,1,NA,46,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14411","Spring Lake",NA,-35,NA,NA,1,47.945785,-98.81996,14411,NA,NA,29,NA,57,6,NA,NA,57,3,59,NA,8,NA,NA,NA,1,NA,NA,NA,NA,162,53,NA,NA,56,NA,NA,55,NA,NA,4,12,NA,2,3,3.5,NA,6,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14436","West Stump Lake",NA,-35,NA,NA,1,47.911675,-98.432175,14436,NA,NA,28,1,43,6,7,NA,88,4,28,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,75,46.5,NA,NA,49,NA,NA,31,NA,NA,6,13,NA,NA,10,6,NA,2,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"19964","Hayes Lake",NA,-60,NA,NA,1,44.36591,-101.01109,19964,NA,NA,24,NA,13,3,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,10,NA,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"19981","Lake Virginia",NA,-60,NA,NA,1,43.52982,-89.930365,19981,1,2,39,NA,2,5,1,6,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,128,39,NA,NA,17,NA,9,120,1,NA,6,6,NA,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"26379","Caddo Lake",NA,-62,NA,NA,1,34.738585,-98.729205,26379,NA,NA,74,NA,1,31,NA,7,8,11,5,NA,NA,NA,4,NA,NA,1,NA,NA,NA,89,13,2,NA,NA,NA,NA,134,NA,NA,NA,9,NA,NA,2,NA,NA,NA,9,NA,NA,NA,NA,2,1,4,NA,NA,5,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,2,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"35","Cox Creek",0,NA,NA,NA,NA,42.8,-91.38,35,NA,NA,92,NA,NA,4,5,5,13,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,3,5,18,NA,NA,109,NA,NA,48,NA,NA,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"36","Elk",0,NA,NA,NA,NA,42.55,-91.28,36,NA,NA,127,NA,NA,3,1,4,9,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,17,9,NA,NA,103,NA,NA,47,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"52","Tennyson",0,NA,NA,NA,NA,42.65,-90.67,52,NA,NA,94,NA,5,3,NA,10,8,7,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,17,32,10,NA,69,NA,NA,29,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"61","Vermnt29",0,NA,NA,NA,NA,43.03,-89.8,61,NA,NA,92,NA,NA,NA,NA,1,19,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,29,5,12,NA,89,NA,NA,43,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"100","Site 30 (Swain unpublished)",0,NA,NA,NA,NA,46.35,-91.35,100,NA,NA,22,NA,3,4,79,NA,4,4,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,104,NA,NA,3,NA,NA,39,NA,NA,1,3,4,17,NA,3,NA,NA,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"952","Lake Pomme de Terre",0,NA,NA,NA,NA,37.88,-93.33,952,NA,NA,89,NA,1,8,NA,4,17,1,2,1,7,NA,NA,5,NA,1,NA,NA,4,2,1,1,3,19,NA,NA,177,NA,NA,2,9,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"1296","JHMN13 (McAndrews and Wright 1969)",0,NA,NA,NA,NA,48.733333,-112.183333,1296,NA,NA,NA,NA,8,2,NA,NA,2,2,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,220,NA,NA,29,NA,1,NA,NA,NA,NA,NA,3,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"1525","Blackhawk Lake",0,NA,NA,NA,NA,42.298455,-95.026045,1525,1,NA,138,NA,7,9,1,1,54,5,3,NA,1,NA,1,6,NA,NA,NA,NA,NA,24,16,1,NA,40,NA,NA,29,NA,NA,3,7,NA,1,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2078","Mertock Lake",0,NA,NA,NA,NA,53.490278,-105.766667,2078,NA,NA,1,NA,19,4,24,NA,14,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,89,NA,NA,5,NA,10,NA,NA,NA,6,NA,NA,19,NA,22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2091","Mile 60 Lac la Ronge Highway",0,NA,NA,NA,NA,54.575,-105.533333,2091,NA,NA,1,NA,14,NA,39,NA,11,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,91,NA,NA,8,NA,1,NA,NA,NA,6,NA,NA,25,NA,26,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2092","Mile 74 Lac la Ronge Highway",0,NA,NA,NA,NA,54.733333,-105.433333,2092,NA,NA,5,NA,4,NA,44,NA,1,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,16,NA,65,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2282","K19 (Kapp 1965]",0,NA,NA,NA,NA,40.12,-94.07,2282,NA,NA,349,NA,NA,12,1,2,101,NA,1,NA,3,NA,NA,6,NA,NA,NA,NA,NA,3,6,1,NA,59,NA,NA,33,NA,NA,2,29,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2536","Lake Clementi",0,NA,NA,NA,NA,49.71045,-99.94635,2536,NA,NA,NA,NA,198,74,58,NA,128,NA,46,NA,6,NA,NA,2,NA,NA,NA,NA,NA,16,110,NA,NA,198,NA,2,66,NA,NA,28,4,NA,36,NA,50,NA,2,8,NA,NA,NA,8,4,2,10,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2694","Park",0,NA,NA,NA,NA,45.5,-91.1,2694,4,9,71,NA,1,13,114,2,10,8,20,1,NA,5,2,NA,NA,1,NA,NA,6,57,189,NA,1,38,NA,NA,71,NA,NA,9,14,4,1,3,4,1,NA,6,13,NA,NA,4,NA,NA,9,NA,1,5,11,3,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2743","Harriet",0,NA,NA,NA,NA,42.926389,-89.448333,2743,NA,NA,271,NA,4,6,6,4,12,NA,2,NA,2,NA,NA,5,NA,NA,NA,NA,1,2,12,NA,NA,37,NA,NA,105,NA,NA,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"2940","Rose 3 (Watts and Wright 1966)",0,NA,NA,NA,NA,42.75,-102.33,2940,NA,NA,42,NA,25,2,NA,NA,105,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,36,NA,NA,50,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14117","Bean Lake",NA,NA,NA,NA,NA,47.3058,-112.429615,14117,NA,NA,3,NA,21,9,5,NA,14,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,347.5,NA,NA,59,NA,NA,NA,NA,NA,2,NA,8,NA,1,9.5,NA,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,1,9,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14223","Unnamed Stock Dam",NA,-37,NA,NA,1,45.73753,-104.51315,14223,NA,NA,4,1,214,29,4,NA,66,14,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,220,NA,NA,113,NA,NA,1,NA,NA,NA,1,NA,2,1,1.5,NA,1,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,4,NA,6,NA,NA,NA,NA,6,NA,NA,10,1,NA,42,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14254","Free Peoples Lake",NA,-35,NA,NA,1,47.908765,-98.729945,14254,NA,NA,39,1,60,11,5,NA,74,5,27,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,45.5,37.5,NA,NA,72,NA,NA,41,NA,NA,6,9,NA,2,NA,3,NA,1,7,NA,2,NA,2,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,1,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14449","Horseshoe Lake",NA,-35,NA,NA,1,44.977035,-97.327105,14449,NA,NA,103,1,31,4,3,NA,50,5,70,NA,NA,NA,NA,1,NA,NA,NA,NA,2,87,23.5,NA,NA,66,NA,NA,6,NA,NA,1,4,NA,NA,4,NA,NA,1,6,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,6,NA,NA,3,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"19918","Angelo",NA,-60,NA,NA,1,43.970095,-90.769255,19918,NA,NA,21,NA,2,5,4,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,156,47,NA,NA,58,NA,1,5,NA,NA,5,NA,NA,16,NA,NA,NA,27,NA,NA,NA,NA,3,NA,15,1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"19978","Timber Lake",NA,-60,NA,NA,1,43.818565,-95.214875,19978,NA,NA,88,NA,5,3,NA,NA,30,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,14.5,NA,NA,32,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"26383","Crater Lake",NA,-62,NA,NA,1,34.705825,-98.62506,26383,NA,NA,67,NA,3,13,NA,6,9,18,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,101,8,1,NA,1,NA,NA,157,NA,NA,3,23,NA,NA,6,1,NA,1,3,NA,NA,NA,NA,1,4,3,NA,NA,1,NA,NA,NA,NA,NA,10,1,NA,NA,1,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"44","Woodbn07",0,NA,NA,NA,NA,42.33,-90.12,44,NA,NA,15,NA,NA,2,1,10,8,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,2,5,5,NA,NA,24,NA,NA,116,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"55","Sheldon",0,NA,NA,NA,NA,43.67,-91.05,55,NA,NA,295,NA,NA,NA,2,9,10,NA,NA,NA,1,NA,NA,7,NA,NA,NA,NA,3,15,24,10,NA,398,NA,NA,57,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,2,NA,6,2,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"60","Mazomani",0,NA,NA,NA,NA,43.17,-89.78,60,NA,NA,40,NA,NA,4,7,10,7,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,2,2,32,2,NA,53,NA,NA,76,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
